realtime_start,realtime_end,date,value
2026-01-24,2026-01-24,2025-05-30,1.3747
2026-01-24,2026-01-24,2025-06-02,1.3699
2026-01-24,2026-01-24,2025-06-03,1.3722
2026-01-24,2026-01-24,2025-06-04,1.3668
2026-01-24,2026-01-24,2025-06-05,1.3667
2026-01-24,2026-01-24,2025-06-06,1.3686
2026-01-24,2026-01-24,2025-06-09,1.3675
2026-01-24,2026-01-24,2025-06-10,1.3683
2026-01-24,2026-01-24,2025-06-11,1.3662
2026-01-24,2026-01-24,2025-06-12,1.3615
2026-01-24,2026-01-24,2025-06-13,1.3575
2026-01-24,2026-01-24,2025-06-16,1.3556
2026-01-24,2026-01-24,2025-06-17,1.3587
2026-01-24,2026-01-24,2025-06-18,1.3683
2026-01-24,2026-01-24,2025-06-19,.
2026-01-24,2026-01-24,2025-06-20,1.3739
2026-01-24,2026-01-24,2025-06-23,1.3773
2026-01-24,2026-01-24,2025-06-24,1.3711
2026-01-24,2026-01-24,2025-06-25,1.375
2026-01-24,2026-01-24,2025-06-26,1.3629
2026-01-24,2026-01-24,2025-06-27,1.3666
2026-01-24,2026-01-24,2025-06-30,1.362
2026-01-24,2026-01-24,2025-07-01,1.3659
2026-01-24,2026-01-24,2025-07-02,1.362
2026-01-24,2026-01-24,2025-07-03,1.3559
2026-01-24,2026-01-24,2025-07-04,.
2026-01-24,2026-01-24,2025-07-07,1.3644
2026-01-24,2026-01-24,2025-07-08,1.3671
2026-01-24,2026-01-24,2025-07-09,1.3694
2026-01-24,2026-01-24,2025-07-10,1.3682
2026-01-24,2026-01-24,2025-07-11,1.3678
2026-01-24,2026-01-24,2025-07-14,1.3694
2026-01-24,2026-01-24,2025-07-15,1.3713
2026-01-24,2026-01-24,2025-07-16,1.3706
2026-01-24,2026-01-24,2025-07-17,1.3749
2026-01-24,2026-01-24,2025-07-18,1.3711
2026-01-24,2026-01-24,2025-07-21,1.3689
2026-01-24,2026-01-24,2025-07-22,1.3615
2026-01-24,2026-01-24,2025-07-23,1.3609
2026-01-24,2026-01-24,2025-07-24,1.3643
2026-01-24,2026-01-24,2025-07-25,1.3714
2026-01-24,2026-01-24,2025-07-28,1.3718
2026-01-24,2026-01-24,2025-07-29,1.3777
2026-01-24,2026-01-24,2025-07-30,1.3814
2026-01-24,2026-01-24,2025-07-31,1.3845
2026-01-24,2026-01-24,2025-08-01,1.3778
2026-01-24,2026-01-24,2025-08-04,1.3775
2026-01-24,2026-01-24,2025-08-05,1.3779
2026-01-24,2026-01-24,2025-08-06,1.3739
2026-01-24,2026-01-24,2025-08-07,1.3749
2026-01-24,2026-01-24,2025-08-08,1.3752
2026-01-24,2026-01-24,2025-08-11,1.3783
2026-01-24,2026-01-24,2025-08-12,1.3762
2026-01-24,2026-01-24,2025-08-13,1.3764
2026-01-24,2026-01-24,2025-08-14,1.3806
2026-01-24,2026-01-24,2025-08-15,1.3808
2026-01-24,2026-01-24,2025-08-18,1.3815
2026-01-24,2026-01-24,2025-08-19,1.3859
2026-01-24,2026-01-24,2025-08-20,1.3874
2026-01-24,2026-01-24,2025-08-21,1.39
2026-01-24,2026-01-24,2025-08-22,1.3845
2026-01-24,2026-01-24,2025-08-25,1.3829
2026-01-24,2026-01-24,2025-08-26,1.3823
2026-01-24,2026-01-24,2025-08-27,1.3825
2026-01-24,2026-01-24,2025-08-28,1.375
2026-01-24,2026-01-24,2025-08-29,1.3726
2026-01-24,2026-01-24,2025-09-01,.
2026-01-24,2026-01-24,2025-09-02,1.3784
2026-01-24,2026-01-24,2025-09-03,1.3787
2026-01-24,2026-01-24,2025-09-04,1.3828
2026-01-24,2026-01-24,2025-09-05,1.3823
2026-01-24,2026-01-24,2025-09-08,1.382
2026-01-24,2026-01-24,2025-09-09,1.3834
2026-01-24,2026-01-24,2025-09-10,1.3843
2026-01-24,2026-01-24,2025-09-11,1.383
2026-01-24,2026-01-24,2025-09-12,1.3858
2026-01-24,2026-01-24,2025-09-15,1.3797
2026-01-24,2026-01-24,2025-09-16,1.3745
2026-01-24,2026-01-24,2025-09-17,1.3761
2026-01-24,2026-01-24,2025-09-18,1.3796
2026-01-24,2026-01-24,2025-09-19,1.3772
2026-01-24,2026-01-24,2025-09-22,1.3814
2026-01-24,2026-01-24,2025-09-23,1.3834
2026-01-24,2026-01-24,2025-09-24,1.3894
2026-01-24,2026-01-24,2025-09-25,1.3923
2026-01-24,2026-01-24,2025-09-26,1.3946
2026-01-24,2026-01-24,2025-09-29,1.3904
2026-01-24,2026-01-24,2025-09-30,1.3927
2026-01-24,2026-01-24,2025-10-01,1.3953
2026-01-24,2026-01-24,2025-10-02,1.3974
2026-01-24,2026-01-24,2025-10-03,1.3946
2026-01-24,2026-01-24,2025-10-06,1.3945
2026-01-24,2026-01-24,2025-10-07,1.3949
2026-01-24,2026-01-24,2025-10-08,1.3953
2026-01-24,2026-01-24,2025-10-09,1.4009
2026-01-24,2026-01-24,2025-10-10,1.3997
2026-01-24,2026-01-24,2025-10-13,.
2026-01-24,2026-01-24,2025-10-14,1.4041
2026-01-24,2026-01-24,2025-10-15,1.4033
2026-01-24,2026-01-24,2025-10-16,1.4045
2026-01-24,2026-01-24,2025-10-17,1.4046
2026-01-24,2026-01-24,2025-10-20,1.4029
2026-01-24,2026-01-24,2025-10-21,1.401
2026-01-24,2026-01-24,2025-10-22,1.3978
2026-01-24,2026-01-24,2025-10-23,1.3991
2026-01-24,2026-01-24,2025-10-24,1.4013
2026-01-24,2026-01-24,2025-10-27,1.3995
2026-01-24,2026-01-24,2025-10-28,1.3937
2026-01-24,2026-01-24,2025-10-29,1.3893
2026-01-24,2026-01-24,2025-10-30,1.3982
2026-01-24,2026-01-24,2025-10-31,1.401
2026-01-24,2026-01-24,2025-11-03,1.4049
2026-01-24,2026-01-24,2025-11-04,1.4081
2026-01-24,2026-01-24,2025-11-05,1.4108
2026-01-24,2026-01-24,2025-11-06,1.4127
2026-01-24,2026-01-24,2025-11-07,1.4075
2026-01-24,2026-01-24,2025-11-10,1.4029
2026-01-24,2026-01-24,2025-11-11,.
2026-01-24,2026-01-24,2025-11-12,1.4
2026-01-24,2026-01-24,2025-11-13,1.401
2026-01-24,2026-01-24,2025-11-14,1.4023
2026-01-24,2026-01-24,2025-11-17,1.4028
2026-01-24,2026-01-24,2025-11-18,1.3996
2026-01-24,2026-01-24,2025-11-19,1.4049
2026-01-24,2026-01-24,2025-11-20,1.4092
2026-01-24,2026-01-24,2025-11-21,1.4094
2026-01-24,2026-01-24,2025-11-24,1.411
2026-01-24,2026-01-24,2025-11-25,1.4115
2026-01-24,2026-01-24,2025-11-26,1.4051
2026-01-24,2026-01-24,2025-11-27,.
2026-01-24,2026-01-24,2025-11-28,1.3974
2026-01-24,2026-01-24,2025-12-01,1.3982
2026-01-24,2026-01-24,2025-12-02,1.3988
2026-01-24,2026-01-24,2025-12-03,1.395
2026-01-24,2026-01-24,2025-12-04,1.3939
2026-01-24,2026-01-24,2025-12-05,1.3858
2026-01-24,2026-01-24,2025-12-08,1.3846
2026-01-24,2026-01-24,2025-12-09,1.3832
2026-01-24,2026-01-24,2025-12-10,1.3834
2026-01-24,2026-01-24,2025-12-11,1.3769
2026-01-24,2026-01-24,2025-12-12,1.3783
2026-01-24,2026-01-24,2025-12-15,1.3765
2026-01-24,2026-01-24,2025-12-16,1.3749
2026-01-24,2026-01-24,2025-12-17,1.3791
2026-01-24,2026-01-24,2025-12-18,1.3762
2026-01-24,2026-01-24,2025-12-19,1.378
2026-01-24,2026-01-24,2025-12-22,1.3744
2026-01-24,2026-01-24,2025-12-23,1.3713
2026-01-24,2026-01-24,2025-12-24,1.3671
2026-01-24,2026-01-24,2025-12-25,.
2026-01-24,2026-01-24,2025-12-26,1.3662
2026-01-24,2026-01-24,2025-12-29,1.368
2026-01-24,2026-01-24,2025-12-30,1.3678
2026-01-24,2026-01-24,2025-12-31,1.3712
