data,ipca_pct,us_cpi_lag2,us_cpi_lag3,usd_brl_lag4
2000-06-01,0.23,0.05841121495329116,0.8244994110718329,-1.8808255659121143
2000-07-01,1.61,0.11675423234092097,0.05841121495329116,-1.1987560079163018
2000-08-01,1.31,0.5247813411078717,0.11675423234092097,3.39953070451553
2000-09-01,0.23,0.23201856148491462,0.5247813411078717,1.1014556926993935
2000-10-01,0.14,0.0,0.23201856148491462,-1.456257527646987
2000-11-01,0.32,0.5208333333333259,0.0,-1.4000000000000012
2000-12-01,0.59,0.17271157167531026,0.5208333333333259,2.738336713995948
2001-01-01,0.57,0.057471264367814356,0.17271157167531026,1.1133048151804381
2001-02-01,0.46,-0.057438253877073464,0.057471264367814356,3.5417909638227663
2001-03-01,0.38,0.6321839080459801,-0.057438253877073464,2.650602409638547
2001-04-01,0.58,0.3997715591090856,0.6321839080459801,-0.21432945499081368
2001-05-01,0.41,0.22753128555175195,0.3997715591090856,0.8029047765163222
2001-06-01,0.52,0.39727582292850006,0.22753128555175195,3.759322205874893
2001-07-01,1.33,0.45223289994347216,0.39727582292850006,5.691374926657544
2001-08-01,0.7,0.16882386043894915,0.45223289994347216,1.0686528497409364
2001-09-01,0.28,-0.2808988764044895,0.16882386043894915,8.023984986497013
2001-10-01,0.83,0.0,-0.2808988764044895,-2.334745762711865
2001-11-01,0.71,0.4507042253521165,0.0,5.483968935745587
2001-12-01,0.65,-0.33651149747617737,0.4507042253521165,4.952083247645289
2002-01-01,0.52,-0.16882386043892694,-0.33651149747617737,4.6870713641885775
2002-02-01,0.36,-0.3945885005637084,-0.16882386043892694,1.340171452101968
2002-03-01,0.6,0.22637238256932868,-0.3945885005637084,-6.590077943186435
2002-04-01,0.8,0.39525691699606735,0.22637238256932868,-8.237434254755428
2002-05-01,0.21,0.5624296962879693,0.39525691699606735,4.219100155145661
2002-06-01,0.42,0.5592841163311046,0.5624296962879693,-2.898730513170411
2002-07-01,1.19,0.0,0.5592841163311046,-1.047610936036114
2002-08-01,0.65,0.05561735261401246,0.0,1.6741263556550257
2002-09-01,0.72,0.11117287381878782,0.05561735261401246,6.7513227513227525
2002-10-01,1.31,0.3331482509716821,0.11117287381878782,12.783505154639174
2002-11-01,3.02,0.16602102933038765,0.3331482509716821,20.53508648572635
2002-12-01,2.1,0.16574585635360517,0.16602102933038765,-11.847746828058925
2003-01-01,2.25,0.0,0.16574585635360517,28.872051086920546
